,url,stutas,company,tel,ad1,ad2,ad3,ad4
0,"https://moose.co.jp/help/tradelaw
",scraping error,有限会社ムース,052-848-2780,,,,
1,"https://www.2929.store/help/tradelaw
",success,杉本食肉産業株式会社,052-741-3101,愛知県,名古屋市昭和区,緑町2-20,
2,"https://phoenix-flower-shop.jp/help/tradelaw
",success,クリエイティブ・フラワー・コーポレーション株式会社,06-6372-6674,大阪府,クリエイティブ・フラワー・コーポレーション株式会社大阪市北区,芝田2丁目1-18,西阪急ビル9階
3,"https://shop.i-w-a.co.jp/help/tradelaw
",都道府県抜け,株式会社岩崎製作所,06-6758-1084,,大阪市生野区,南巽2-3-18,
4,"https://www.sanfoods.jp/shop/help/tradelaw
",scraping error,株式会社ネクストビジョン,055-269-5947,,,,
5,"https://shop.yoshimi0926.co.jp/help/tradelaw
",scraping error,株式会社Gourmand,050-5494-6310,,,,
6,"https://hobbies.misystems.jp/help/tradelaw
",scraping error,エム・アイ・システムズ株式会社ホビーズEC事業部,072-750-2300,,,,
7,"https://iwill-design.jp/help/tradelaw
",scraping error,株式会社アイル,0562-57-4411,,,,
8,"https://kyosen.do/help/tradelaw
",success,株式会社京煎堂,0774-21-2255,京都府,宇治市,槇島町中川原23-5,
9,"https://kyosen.do/help/tradelaw
",success,株式会社京煎堂,0774-21-2255,京都府,宇治市,槇島町中川原23-5,
10,"https://enginori.com/help/tradelaw
",都道府県抜け,井口食品株式会社,092-682-6988,,福岡市東区,名島2-34-25,
11,"https://www.kscc.or.jp/ecnew/help/tradelaw
",success,公益財団法人 関西カウンセリングセンター,06-6809-1225,大阪府,大阪市北区,西天満2-6-8,堂島ビルヂング8階
12,"https://ever-lady.jp/help/tradelaw
",success,株式会社ディーラリエエバーレディ事業部,06-6836-9905,大阪府,豊中市,桜の町4丁目2-12,
13,"https://store.noid.jp/help/tradelaw
",scraping error,アヴィエラン株式会社,042-522-0207,,,,
14,"https://funtos.jp/ecshop/help/tradelaw
",success,株式会社ソユー,018-824-5111,秋田県,秋田市,卸町三丁目7-3,
15,"https://www.airbuggy.com/ec/help/tradelaw
",success,〒151-0063 東京都渋谷区富ヶ谷1-18-5,0120-178-363,東京都,渋谷区,富ヶ谷1-18-5,
16,"https://www.myogata-ham.jp/shop/html/help/tradelaw
",scraping error,めぐみの農業協同組合,0575-65-2300,,,,
17,"https://shop.coco-grove.jp/help/tradelaw
",都道府県抜け,株式会社アズマ,06-6782-5120,,,提供の手段:専用システムにて実施,
18,"https://femininestyle.jp/help/tradelaw
",success,フェミニンスタイル株式会社,03-6712-8707,東京都,港区,港南1-8-27,
19,"https://www.mou.co.jp/help/tradelaw
",success,"株式会社アクロポリス[英文表記:acropolis co., ltd]",076-422-2222,富山県,富山市,総曲輪3-5-4,
20,"https://umiyama.org/help/tradelaw
",success,農事組合法人石垣島海のもの山のもの生産組合,0980-86-7757,沖縄県,石垣市,桃里165-413,
21,"https://kobutora-nishii.com/shop/help/tradelaw
",success,昆布寅西井,0745-52-2316,奈良県,大和高田市,内本町5-11,
22,"https://airsoft97.com/help/tradelaw
",success,有限会社SPARK,098-943-8943,沖縄県,宜野湾市,普天間1-34-11F,(店舗のみ)
23,"https://sfty.co.jp/help/tradelaw
",success,有限会社セーフティー,093-483-3666,福岡県,北九州市門司区,伊川1951-3,
24,"https://ethos-cradle.com/help/tradelaw
",success,株式会社CRADLE,079-441-9971,兵庫県,加古川市,平岡町新在家892-1,
25,"https://chickenman.jp/order/help/tradelaw
",success,有限会社CHICKENMAN,0334754123,東京都,港区,六本木3丁目11,-7六本木石渡ビル6階
26,"https://kobayashi-seika.co.jp/shop/help/tradelaw
",scraping error,,0336776998,,,,
27,"https://shop.qntoqnto.com/help/tradelaw
",success,Qnto Qnto,077-576-5092,滋賀県,大津市,坂本二丁目2-71,
28,"https://www.tenmafitsworld.com/help/tradelaw
",success,天馬株式会社,03-3598-5651,東京都,北区,赤羽1-63-6,
29,"https://daisen-jikan.com/help/tradelaw
",success,株式会社ビッグワン,0859579083,鳥取県,西伯郡,大山町大山116番地5,
30,"http://133.242.209.124/help/tradelaw
",success,鉄板焼きどんとこ,082-249-5981,広島県,広島市中区,三川町6-3,プリシアダイコウビル101 どんとこ三川町店
31,"https://ja-tsukigata.food-palette.com/help/tradelaw
",scraping error,株式会社エーコープつきがた,0126-37-2121,,,,
32,"https://www.kikusuinosato.co.jp/help/tradelaw
",scraping error,きくすいの里,096-886-5055,,,,
33,"http://store.little-angels.jp/help/tradelaw
",scraping error,リトルエンジェルズオンライン,050-3385-9488,,,,
34,"https://coccola.komekichi.com/help/tradelaw
",scraping error,並木ダイニングコッコラ,0266-58-0140,,,,
35,"http://toyoura-rss.com/ec/help/tradelaw
",success,株式会社豊浦産業振興公社,0142-83-1010,北海道,虻田郡,豊浦字旭町65番地8,
36,"https://hanabata.co.jp/shop/help/tradelaw
",success,有限会社アクアランドはなばた,0246-65-7400,福島県,いわき市,勿来町四沢渋町33,
37,"https://produrre-okayama.com/help/tradelaw
",都道府県抜け,produrre,0862067018,,,〒 701-0153,
38,"https://shop.armoniaesaka.com/help/tradelaw
",success,アルモニア株式会社,050-1221-3084,大阪府,吹田市,垂水町1丁目55-2,メゾンワタナベ103
39,"http://white-magic.co.jp/help/tradelaw
",scraping error,株式会社ホワイトゴールドJAPAN,025-385-7750,,,,
40,"https://store.pcshopmast.com/help/tradelaw
",scraping error,株式会社やまつ,092-836-8956,,,,
41,"https://shop.kurobenotaiyo.co.jp/help/tradelaw
",都道府県抜け,くろべの太陽株式会社,0765-52-0173,,,くろべの太陽株式会社 本社,
42,"https://shop.atelier-ninon.com/help/tradelaw
",success,株式会社ル コタージュ,03-6721-1689,東京都,渋谷区,神宮前3-27-22,ルコタージュビルディング104
43,"https://t-plaza.co.jp/help/tradelaw
",都道府県抜け,運営責任者,049-265-8001,,,〒-,
44,"https://karyou-tohteru.ec-cube.shop/help/tradelaw
",success,株式会社東照,044-244-5221,神奈川県,川崎市川崎区,本町1-9-1,
45,"https://shokunomiraibin.com/help/tradelaw
",scraping error,決済手数料には運賃、振込手数料、収入印紙代は含まれておりません。,098-851-9546,,,,
46,"https://shop.yokota-sekizaiten.co.jp/help/tradelaw
",success,有限会社横田石材店,0749-85-6152,滋賀県,長浜市,高月町馬上1574,
47,"https://silverohno.sakura.ne.jp/ec/html/help/tradelaw
",scraping error,株式会社大野商会,045-664-6667,,,,
48,"https://www.kurasuonline.com/help/tradelaw
",success,株式会社チャンピオン,0120-372-315,山形県,酒田市,四ツ興野430,
49,"https://meigetsu.org/shop/help/tradelaw
",success,御菓子司名月,045-701-7735,神奈川県,横浜市金沢区,六浦5丁目23-29,
50,"https://shop.chirancha.jp/help/tradelaw
",success,株式会社知覧茶園,099-239-2200,鹿児島県,鹿児島市,堀江町6-16,
51,"https://sutou-nousan.com/shopping/help/tradelaw
",scraping error,有限会社すとう農産,0242-59-1021,,,,
52,"https://shop.kijidaruma.com/help/tradelaw
",scraping error,木地処さとう,0246-22-0246,,,,
53,"https://secure.magical.jp/shop/help/tradelaw
",scraping error,まじかるテクノロジー有限会社,042-812-7539,,,,
54,"https://idealinc.tv/help/tradelaw
",success,株式会社イデアル,0263-31-3145,長野県,松本市,中央1-11-23,
55,"https://shop.1pt.jp/help/tradelaw
",scraping error,,043-233-3511,,,,
56,"https://matsuoshouten.jp/shop/help/tradelaw
",scraping error,株式会社松尾商店,,,岐阜市,六条南2丁目3番地5号,
57,"https://shop.livepiadepo-sowell.com/help/tradelaw
",success,株式会社ソエル,0282-51-9320,栃木県,栃木市,岩舟町曲ケ島1806-4,
58,"https://shop.kubimakura.com/help/tradelaw
",success,有限会社小池経編染工所,0284-21-7341,栃木県,足利市,西宮町2833,
59,"http://shop.noel.gr.jp/help/tradelaw
",success,フラワー スタジオ ノエル,054-286-8601,静岡県,静岡市駿河区,中田本町23-13,
60,"https://miyazuka.shop/html/help/tradelaw
",scraping error,株式会社システムデザインワークス,0287-74-3134,,,,
