,url,stutas,company,tel,ad1,ad2,ad3,ad4
0,"https://www.hokkaido-daimaru.com/html/ordercontract.html
",scraping error,,011-824-2711,,,,
1,"https://www.tent-super.com/html/ordercontract.html
",success,株式会社コモテック,089-921-0002,愛媛県,松山市,湊町8-111-1,愛建ビル3F
2,"https://www.anzen.ne.jp/html/ordercontract.html
",scraping error,有限会社未来研究所Future Laboratory Ltd.,045-620-7801,,,,
3,"https://www.good-on.com/html/ordercontract.html
",scraping error,,03-3791-1847,東京都,渋谷区,恵比寿南2-23-12,エビスサニービル3F
4,"https://thisone-ec.com/html/ordercontract.html
",scraping error,,,愛知県,小牧市,川西1丁目81番地,
5,"https://www.luckyheart.jp/html/ordercontract.html
",success,うさぎ専門店LuckyHeart浜田俊泰,047-398-8555,千葉県,市川市,南行徳2-11-3,
6,"https://www.btoner.jp/html/ordercontract.html
",success,ベストトナーショップ石井 美穂,03-5829-9230,東京都,台東区,浅草橋5-8-11,大富ビル2F
7,"https://www.tuugo.jp/Companies/%E8%88%88%E5%9B%BD%E5%85%B1%E5%90%8C%E8%A3%BD%E8%8C%B6%E7%B5%84%E5%90%88/113000619666
",scraping error,We and third party providers from us use cookies on our pages. By continuing to browse our pages you agree to that and accept our Cookie Policy.accept,,,,We and third party providers from us use cookies on our pages. By continuing to browse our pages you agree to that and accept our Cookie Policy.accept,
8,"https://www.tuugo.jp/Companies/%E8%88%88%E5%9B%BD%E5%85%B1%E5%90%8C%E8%A3%BD%E8%8C%B6%E7%B5%84%E5%90%88/113000619666
",scraping error,We and third party providers from us use cookies on our pages. By continuing to browse our pages you agree to that and accept our Cookie Policy.accept,,,,We and third party providers from us use cookies on our pages. By continuing to browse our pages you agree to that and accept our Cookie Policy.accept,
9,"http://goodsheet.jp/html/ordercontract.html
",scraping error,,03-6659-6700,埼玉県,加須市,久下3-1-3,
10,"https://www.beabea.jp/html/ordercontract.html
",scraping error,株式会社ベアベア,06-6372-6677,,,,
11,"https://webshop.ie-visions.jp/html/ordercontract.html
",scraping error,,03-5760-6629,東京都,世田谷区,等々力7-8-81F,
12,"https://www.handasomen.com/html/ordercontract.html
",scraping error,,0883-64-3777,,,,
13,"https://www.takutoma.net/html/ordercontract.html
",scraping error,,0256-64-3892,,,,
14,"https://shop.kk-sanko.com/html/ordercontract.html
",success,株式会社三幸,025-256-2251,新潟県,北蒲原郡,聖籠町位守町160-24,
15,"https://www.nanki728.com/html/ordercontract.html
",scraping error,,0739-26-0728,,,,
16,"https://www.aliceonwednesday.shop/html/ordercontract.html
",scraping error,,052-931-6173,,,,
17,"https://shop.ruralclean.net/html/ordercontract.html
",scraping error,,073-455-0847,和歌山県,和歌山市,島橋東ノ丁1番46号,
18,"https://shop.oi-nikuten.co.jp/html/ordercontract.html
",success,電話番号:078-351-1011メールアドレス:,078-351-1011,兵庫県,神戸市中央区,元町通7-2-5,
19,"https://www.goldencheese048.com/html/ordercontract.html
",scraping error,,,,,Step 4,
20,"http://kawanishif.shop26.makeshop.jp/html/ordercontract.html
",scraping error,,070-6542-1115,,,,
21,"http://www.kitchen-king.jp/html/ordercontract.html
",scraping error,,052-930-6772,愛知県,名古屋市東区,筒井2丁目11-24,
22,"https://www.japanhennashop.com/html/ordercontract.html
",scraping error,,03-3794-6992,,,,
23,"https://shop.down-time.jp/html/ordercontract.html
",scraping error,,03-5772-1508,,,,
24,"https://www.cavederelax.com/html/ordercontract.html
",success,株式会社カーヴ・ド・リラックス,03-3595-3697,東京都,港区,西新橋1-6-11,
25,"https://www.akagi-karikariume.jp/html/ordercontract.html
",success,群馬県前橋市上大島町84,027-261-2341,群馬県,前橋市,上大島町84,
26,"http://www.rakusho.net/html/ordercontract.html
",scraping error,,072-662-3777,,,,
27,"https://kyoto-omuro.jp/html/ordercontract.html
",都道府県抜け,有限会社フラワーハウスおむろ,075-465-5005,,京都市右京区,御室芝橋町6番地16,
28,"https://crescent-luna.com/html/ordercontract.html
",scraping error,,046-240-6850,,,,
29,"http://brand-glanz.com/html/ordercontract.html
",scraping error,,011-299-6514,,,,
30,"http://www.grand-vin-cellar.jp/html/ordercontract.html
",scraping error,,,,,酒類販売管理者の氏名神谷  亮,
31,"https://monter-lash-lift.net/html/ordercontract.html
",scraping error,,078-331-7771,,,,
